"depth","learning_rate","l2_leaf_reg","rsm","best_iter","best_rmse","train_rmse","test_rmse","rmse_gap_ratio","flag"
6,0.05,30,0.8,1000,0.252062369768005,0.216086690430231,0.252062369768005,0.166487252251149,"OK"
8,0.02,10,0.9,1000,0.252338366792985,0.21323593285462,0.252338366792985,0.183376382277112,"OK"
6,0.05,30,1,1000,0.252518746311218,0.216440414662138,0.252518746311218,0.166689440626872,"OK"
6,0.05,30,0.9,1000,0.252632879296699,0.215439245660625,0.252632879296699,0.172640938850408,"OK"
8,0.02,10,0.8,1000,0.253241509595921,0.213980318228623,0.253241509595921,0.183480385917316,"OK"
8,0.02,10,1,1000,0.253264354452019,0.214606407406695,0.253264354452019,0.180134169862243,"OK"
4,0.05,3,1,1000,0.262127160925306,0.226093995401099,0.262127160925306,0.159372501070993,"OK"
4,0.05,3,0.9,1000,0.262273197392006,0.226211996817557,0.262273197392006,0.159413298506592,"OK"
6,0.02,3,1,1000,0.26288028613949,0.228766494055611,0.26288028613949,0.149120579150838,"OK"
4,0.05,3,0.8,1000,0.263418100199557,0.227261587247184,0.263418100199557,0.159096455280171,"OK"
6,0.02,3,0.8,1000,0.264415017710122,0.230764864826869,0.264415017710122,0.145820087943192,"OK"
6,0.02,3,0.9,1000,0.264852399959666,0.230264852724999,0.264852399959666,0.150207670972584,"OK"
4,0.05,10,1,1000,0.266472192352014,0.234465871485759,0.266472192352014,0.136507375949592,"OK"
4,0.05,10,0.9,1000,0.266560495742214,0.233644788949743,0.266560495742214,0.140879267799768,"OK"
4,0.05,10,0.8,1000,0.26823006775356,0.235068837390346,0.26823006775356,0.141070295541333,"OK"
8,0.02,30,0.9,1000,0.268435937611485,0.237297275466337,0.268435937611485,0.131222164620114,"OK"
8,0.02,30,0.8,1000,0.268756280106896,0.236986983796278,0.268756280106896,0.134055026152525,"OK"
8,0.02,30,1,1000,0.269262207100484,0.237608951897848,0.269262207100484,0.133215751973199,"OK"
6,0.02,10,1,1000,0.270079449567002,0.240617563674697,0.270079449567002,0.122442790303273,"OK"
6,0.02,10,0.9,1000,0.270270256875154,0.239651377136232,0.270270256875154,0.127764255331262,"OK"
6,0.02,10,0.8,1000,0.271201264482708,0.241511046496655,0.271201264482708,0.122935238022181,"OK"
8,0.01,3,1,1000,0.272691657791431,0.239746246980022,0.272691657791431,0.137417837511149,"OK"
8,0.01,3,0.9,1000,0.273276869139538,0.240133991965174,0.273276869139538,0.13801826598198,"OK"
4,0.05,30,0.9,1000,0.273374770936848,0.245375488411828,0.273374770936848,0.114107903386126,"OK"
8,0.01,3,0.8,1000,0.273449694476998,0.240536876243672,0.273449694476998,0.136830654606091,"OK"
4,0.05,30,1,1000,0.274271653671637,0.246729100927567,0.274271653671637,0.111630742545266,"OK"
4,0.05,30,0.8,1000,0.274851470763259,0.246948658293607,0.274851470763259,0.112990338406609,"OK"
6,0.02,30,0.9,1000,0.279094647065121,0.252685680883026,0.279094647065121,0.104513109289798,"OK"
6,0.02,30,1,1000,0.279717782691504,0.254307927994735,0.279717782691504,0.0999176663391117,"OK"
6,0.02,30,0.8,1000,0.280458368430741,0.254789492588611,0.280458368430741,0.100745425493568,"OK"
8,0.01,10,1,1000,0.280951073398184,0.252606953347536,0.280951073398184,0.112206412670091,"OK"
8,0.01,10,0.9,1000,0.2816231308258,0.253415791367724,0.2816231308258,0.111308530955539,"OK"
8,0.01,10,0.8,1000,0.28224857187805,0.254019934760015,0.28224857187805,0.111127644941348,"OK"
6,0.01,3,1,1000,0.29178081564996,0.267911301144677,0.29178081564996,0.0890948399836,"OK"
4,0.02,3,0.9,1000,0.292323427039951,0.268315759005863,0.292323427039951,0.089475430451938,"OK"
6,0.01,3,0.9,1000,0.292775375538527,0.268684223347364,0.292775375538527,0.0896634416826843,"OK"
4,0.02,3,1,1000,0.293233840084142,0.268974813392759,0.293233840084142,0.0901906999595525,"OK"
4,0.02,3,0.8,1000,0.29327950389572,0.269548887136324,0.29327950389572,0.0880382664959573,"OK"
6,0.01,3,0.8,1000,0.294060411395639,0.270237231007923,0.294060411395639,0.0881565441551497,"OK"
8,0.01,30,1,1000,0.295273988259042,0.271893834831582,0.295273988259042,0.0859900094532927,"OK"
