iter	RMSE
0	2.772277738
1	2.72057969
2	2.669504391
3	2.619997064
4	2.571440342
5	2.523601641
6	2.476884589
7	2.430710818
8	2.385933059
9	2.342523789
10	2.299551531
11	2.256993579
12	2.215667004
13	2.174983434
14	2.135237936
15	2.095787114
16	2.057580445
17	2.019882106
18	1.983981022
19	1.947775367
20	1.91255812
21	1.87803309
22	1.844506155
23	1.812111069
24	1.780007905
25	1.748323134
26	1.717753621
27	1.687514267
28	1.657506681
29	1.628236946
30	1.599510552
31	1.571542901
32	1.54422675
33	1.517252673
34	1.490965913
35	1.465182373
36	1.440069578
37	1.415590816
38	1.391295508
39	1.367700198
40	1.344484405
41	1.321995905
42	1.299844917
43	1.278027252
44	1.256692642
45	1.235734209
46	1.215344504
47	1.195428386
48	1.175949664
49	1.156897157
50	1.138615598
51	1.120596976
52	1.102776285
53	1.085374958
54	1.068308867
55	1.051781974
56	1.035528737
57	1.01955301
58	1.003862546
59	0.9885434788
60	0.9736811694
61	0.9591974809
62	0.9447903709
63	0.9308413263
64	0.9172651471
65	0.903909545
66	0.890703279
67	0.877869211
68	0.8652191882
69	0.8531979045
70	0.8412823659
71	0.829703507
72	0.8183534906
73	0.8072587163
74	0.7966110985
75	0.7860068681
76	0.7756258657
77	0.765536593
78	0.7557466797
79	0.7463665466
80	0.7370038285
81	0.7276991621
82	0.7190246849
83	0.7101261938
84	0.7016342828
85	0.6933970746
86	0.685333824
87	0.6772470408
88	0.6695618777
89	0.6620753806
90	0.6548326884
91	0.6474518281
92	0.6403444537
93	0.6335165982
94	0.626995839
95	0.6205458027
96	0.6142650757
97	0.6080830944
98	0.6021037054
99	0.5963644953
100	0.5905222285
101	0.5848073418
102	0.5793636723
103	0.5740531899
104	0.5688666616
105	0.5639545632
106	0.5588795089
107	0.5540949998
108	0.5494779345
109	0.5449775039
110	0.5405858196
111	0.5361918683
112	0.5319607769
113	0.5279639184
114	0.5240300477
115	0.5200203449
116	0.5162276936
117	0.5126436414
118	0.5091440657
119	0.5056364779
120	0.5022509577
121	0.4987022611
122	0.4954186213
123	0.4923608641
124	0.4892924037
125	0.4862538692
126	0.4832747489
127	0.4803691633
128	0.4775948014
129	0.4749716537
130	0.4722272873
131	0.469667241
132	0.4672911164
133	0.4648524164
134	0.4624911855
135	0.460110256
136	0.4577753
137	0.4555807116
138	0.453503617
139	0.4512407583
140	0.4493439638
141	0.4474059573
142	0.4452589286
143	0.4433358478
144	0.4414271338
145	0.4396873037
146	0.4377281356
147	0.4361121834
148	0.4343508361
149	0.4327712387
150	0.4309523813
151	0.4293699965
152	0.4277015323
153	0.4261738665
154	0.4247738872
155	0.4234449999
156	0.4220519463
157	0.420763014
158	0.4193496292
159	0.4180701872
160	0.4166250877
161	0.4154506993
162	0.4142240194
163	0.4130297993
164	0.4117837375
165	0.4105066449
166	0.4095088136
167	0.4084333028
168	0.4073606889
169	0.4064270149
170	0.4055285662
171	0.404434528
172	0.4034067467
173	0.4022945262
174	0.4014427896
175	0.400613752
176	0.3998252083
177	0.3988395015
178	0.3980950152
179	0.3973079995
180	0.3965452185
181	0.3955656059
182	0.3946736558
183	0.3937812545
184	0.3930240753
185	0.3922837142
186	0.3916915928
187	0.3910029934
188	0.390167082
189	0.3894899643
190	0.3888346122
