iter	RMSE
0	1.205451713
1	1.186125043
2	1.167290967
3	1.148901396
4	1.130867965
5	1.113158701
6	1.096008345
7	1.078889751
8	1.062294334
9	1.04619526
10	1.030315298
11	1.014758892
12	0.9996354
13	0.9847366707
14	0.9700167288
15	0.9558554749
16	0.9418350801
17	0.9282728281
18	0.9150493057
19	0.9024288081
20	0.8897122446
21	0.8770230535
22	0.864751608
23	0.8527312081
24	0.8411424831
25	0.8297999377
26	0.8183650142
27	0.8074887907
28	0.7967376646
29	0.7861557271
30	0.7759964568
31	0.7659344945
32	0.7562176694
33	0.7467274347
34	0.7374300492
35	0.7280626306
36	0.7189956509
37	0.710298324
38	0.701555489
39	0.6929977072
40	0.6849495513
41	0.6771543632
42	0.6693869764
43	0.6617964398
44	0.6544969403
45	0.6471241803
46	0.640185869
47	0.6333070939
48	0.6265001967
49	0.6200093104
50	0.6134132202
51	0.6068513363
52	0.6008279912
53	0.5948465989
54	0.5888252684
55	0.5830433245
56	0.5775050409
57	0.5720226053
58	0.5667494116
59	0.5614349001
60	0.5563078996
61	0.5513222156
62	0.5464536227
63	0.541670475
64	0.536930239
65	0.5324226201
66	0.5281049568
67	0.5237580588
68	0.5194092636
69	0.5150597632
70	0.5110325411
71	0.5070252977
72	0.5030280422
73	0.4993807248
74	0.4958016327
75	0.4922057621
76	0.488659746
77	0.4851291268
78	0.481656905
79	0.4782889007
80	0.4750721246
81	0.4718664624
82	0.468690576
83	0.4656180837
84	0.4627125477
85	0.4599356198
86	0.457194794
87	0.4543724885
88	0.4517274311
89	0.4492424606
90	0.4466379189
91	0.4440648162
92	0.4416694068
93	0.4392086043
94	0.4368720857
95	0.4345677589
96	0.4322451066
97	0.4301164943
98	0.4279377383
99	0.4259757504
100	0.4239383641
101	0.4218938542
102	0.419890863
103	0.4178595723
104	0.4159043008
105	0.4139785129
106	0.4121797859
107	0.4103799474
108	0.4086268985
109	0.4070297164
110	0.4052266616
111	0.4036293802
112	0.4020095849
113	0.4003736692
114	0.3988844136
115	0.3973291485
116	0.3957813355
117	0.3942487226
118	0.3928986192
119	0.3916035447
120	0.3901969408
121	0.3889206088
122	0.387559127
123	0.3863655191
124	0.3852244416
125	0.3840431389
126	0.3828673492
127	0.3817401382
128	0.3805636454
129	0.3795112294
130	0.3782813852
131	0.3773012261
132	0.3762327691
133	0.3751637676
134	0.3740698617
135	0.3730487179
136	0.3720825001
137	0.3711367475
138	0.3701511833
139	0.3692041201
140	0.3682077572
141	0.3672078588
142	0.3663354894
143	0.3654016878
144	0.3643546981
145	0.3634344375
146	0.3626155929
147	0.3616148135
148	0.3608548117
149	0.3598944513
150	0.3590463598
151	0.3581583367
152	0.3574052288
153	0.3567251375
154	0.3559195384
155	0.3550928756
156	0.3543939346
157	0.3535470274
158	0.3528845599
159	0.3521531827
160	0.3514727882
161	0.3508165002
162	0.3501896257
163	0.3494003153
164	0.3487125106
165	0.3481358457
166	0.3475831336
167	0.3468352488
168	0.3462446633
169	0.3456376358
170	0.3449141708
171	0.3443341445
172	0.3438672271
173	0.3433191418
174	0.3427009895
175	0.3420886515
176	0.3415807444
177	0.3410346675
178	0.3404533273
179	0.339959255
180	0.339411207
181	0.3390034742
182	0.3384918313
183	0.3379672554
184	0.3374529045
185	0.3369577383
186	0.3365644636
187	0.3361133035
188	0.3355250266
189	0.3350943218
190	0.3345352108
191	0.3340994314
192	0.3337444782
193	0.3333872562
194	0.3329226813
195	0.3324713276
196	0.3319601664
197	0.3316030633
198	0.3312169573
199	0.3308539317
200	0.3303355404
201	0.3299449528
202	0.3295191367
203	0.3290738975
204	0.3286356594
205	0.3282075225
206	0.3279334115
207	0.327630825
208	0.3272666889
209	0.3269473379
210	0.3266495335
211	0.3262813953
212	0.3259483918
213	0.325587744
214	0.3253484216
215	0.3249749863
216	0.3246139507
217	0.3242139253
218	0.3238308294
219	0.3234206458
220	0.3231068139
221	0.3226406552
222	0.3223074594
223	0.3220242771
224	0.3217130511
225	0.3213165443
226	0.321024403
227	0.3208082394
228	0.3204406928
229	0.3201480288
230	0.3197883374
231	0.3195685336
232	0.3192222831
233	0.3188926405
234	0.3185848284
235	0.3181406855
236	0.3177676903
237	0.3174781499
238	0.3172631204
239	0.316982772
240	0.3166699931
241	0.3163916213
242	0.3161105657
243	0.3158282223
244	0.3155843459
245	0.3152385235
246	0.3149801669
247	0.3147123676
248	0.3145138082
249	0.314151068
250	0.3139167424
251	0.3136540636
252	0.3133682385
253	0.3131407849
254	0.3129040663
255	0.3126108794
256	0.3123778394
257	0.3119932212
258	0.3116152946
259	0.3114279711
260	0.3111290247
261	0.3108800141
262	0.3106662501
263	0.3104257912
264	0.3102167625
265	0.3100388942
266	0.3098586546
267	0.3096792669
268	0.3094909829
269	0.3092678063
270	0.3090202692
271	0.3088486553
272	0.3085944973
273	0.3084115408
274	0.3081826511
275	0.3078955958
