iter	Passed	Remaining
0	166	166404
1	174	87250
2	182	60671
3	189	47253
4	199	39622
5	206	34208
6	214	30414
7	221	27505
8	229	25246
9	237	23467
10	244	21957
11	251	20729
12	259	19713
13	266	18756
14	272	17912
15	278	17151
16	285	16504
17	291	15909
18	297	15363
19	302	14840
20	308	14383
21	314	13963
22	319	13567
23	324	13208
24	329	12864
25	335	12565
26	341	12293
27	346	12025
28	351	11768
29	356	11542
30	362	11322
31	367	11110
32	372	10921
33	378	10747
34	384	10590
35	389	10442
36	395	10283
37	400	10129
38	405	9984
39	411	9864
40	416	9740
41	422	9636
42	428	9528
43	434	9432
44	439	9335
45	445	9232
46	450	9141
47	456	9053
48	461	8962
49	467	8886
50	473	8804
51	478	8726
52	483	8647
53	488	8565
54	494	8492
55	500	8429
56	505	8361
57	510	8296
58	516	8230
59	521	8167
60	526	8111
61	532	8055
62	537	8000
63	543	7947
64	548	7892
65	553	7838
66	559	7788
67	564	7742
68	569	7689
69	574	7637
70	580	7592
71	585	7541
72	590	7496
73	595	7454
74	601	7413
75	606	7369
76	611	7327
77	616	7285
78	621	7249
79	626	7209
80	631	7165
81	636	7129
82	643	7105
83	648	7071
84	653	7036
85	658	7003
86	663	6967
87	669	6934
88	674	6901
89	679	6871
90	684	6837
91	689	6801
92	694	6774
93	700	6748
94	704	6715
95	710	6688
96	715	6662
97	720	6633
98	726	6607
99	731	6581
100	736	6551
101	743	6542
102	750	6532
103	758	6532
104	765	6523
105	772	6514
106	778	6499
107	785	6484
108	791	6470
109	798	6459
110	805	6449
111	812	6443
112	820	6437
113	826	6425
114	833	6415
115	840	6408
116	847	6395
117	854	6384
118	860	6370
119	866	6352
120	871	6333
121	877	6315
122	883	6300
123	888	6278
124	894	6261
125	900	6243
126	905	6221
127	910	6201
128	915	6182
129	920	6162
130	926	6142
131	931	6125
132	936	6106
133	941	6087
134	947	6071
135	953	6057
136	958	6040
137	964	6027
138	970	6010
139	975	5991
140	980	5973
141	985	5955
142	991	5939
143	996	5924
144	1001	5906
145	1007	5890
146	1012	5876
147	1018	5860
148	1023	5845
149	1029	5832
150	1034	5815
151	1039	5799
152	1045	5785
153	1050	5769
154	1055	5753
155	1062	5745
156	1067	5731
157	1073	5722
158	1079	5709
159	1085	5697
160	1090	5683
161	1095	5668
162	1101	5654
163	1106	5639
164	1111	5623
165	1115	5605
166	1120	5587
167	1124	5571
